jobs,count
·,624
vigneron,178
laboureur,96
manoeuvre,92
rentiere,81
cordonnier,73
marchand,46
rentier,45
charpentier,44
couturiere,42
jardinier,41
menuisier,39
tailleur,38
journalier,33
marchande,31
agriculteur,31
proprietaire,30
boulanger,26
lingere,26
macon,23
serrurier,21
tailleuse,19
fermier,18
pecheur,17
perruquier,16
boucher,16
blanchisseuse,15
institutrice,15
masson,15
vendeur de vin,14
lavandiere,12
imprimeur,12
voiturier,12
fileuse,12
domestique,10
ferblantier,10
tonnelier,10
tanneur,10
instituteur,10
marechal,9
gociant,9
ministre,9
aubergiste,8
journaillere,8
meunier,8
journaliere,8
juge d appel,7
atif,7
vigneronne,7
musicien,7
lecheur,7
cafetier,7
toujours,6
avocat,6
negt,6
chapelier,6
libraire,6
lessiveuse,6
medecin,5
chamoiseur,5
idem .,5
charron,5
sellier,5
garde malade,5
ecrivain,5
une,5
orfevre,5
pilleuse,5
tailleur d habits,5
procureur,5
ici,5
alix,4
carrier,4
vandeur de vin,4
modiste,4
notaire,4
horloger,4
relieur,4
gte,4
huissier,4
laitier,4
sineraud,4
secretaire,4
ans,4
commissaire,4
tailleure,4
sallieur,4
municipal,4
chapellier,3
murier,3
reg,3
profenseur,3
deum,3
reulier,3
conseiller,3
fileure,3
gendarme,3
fait de dualles,3
revendeuse,3
couvreur,3
ouvrier,3
reguste,3
bijoulier,3
fraiteur,3
commis,3
cordourier,3
ebeniste,3
charpentiere,3
point,3
dem,3
marchand de vin,3
tapissier,3
charon,3
traiteur,3
peintre,3
professeur,3
fontenier,3
confiseur,3
veudeur de vin,3
blanchi ause,3
concierge,3
menieriel,2
titeure,2
tient boutique,2
filleuse,2
chancoiseur,2
armurier,2
gippier,2
marchard,2
fait des menages,2
idem men,2
veiller,2
libraire n,2
cultivateur,2
charmacien,2
pinturier,2
trailleur,2
blanchineure,2
municisal,2
jenpuineur,2
taillieur,2
munieipal,2
vendoin,2
juge,2
laissier,2
cous enlinge,2
lengere,2
fousenaine,2
vindeur de vin,2
garcon voiturier,2
garde foret,2
bourrelier,2
regent,2
cabaretier,2
repasseuse,2
gotiant,2
tourneur,2
cournier,2
jordinier,2
vetanie,2
journallier,2
felien,2
orfere,2
seiller,2
sonner,2
greffier,2
proffesseur,2
huinier,2
menuisier .,2
bijoutier,2
ballelier,2
muricien,2
ninistre,2
maitere resle,2
battellier,2
gipier,2
vend de viz,2
gipsier,2
coffetier,2
charretier,2
hologen,1
cerivin,1
crel de legistatirn,1
inspecteur dolice,1
juge de laix,1
piypiere,1
fabriquaud,1
gaulier,1
meyge,1
medocin,1
commissaire polier,1
comis au mag abric,1
cartier,1
ancien muniegrat,1
fileur,1
emballeur,1
tappel,1
bachelier,1
saleur,1
gor,1
journailleur,1
ouvrier macon,1
saraudiere,1
borlager,1
macount,1
cauturiere,1
vit de sos terles,1
mauonor,1
vigne,1
vil de ses tenles,1
du pelit orseil,1
padeur de je,1
doyen,1
mederin lerierie,1
callivateur,1
maisonneur,1
rippare,1
chelouvrier ala,1
domurie,1
lautin,1
tinerand,1
journailler,1
traimeur,1
maruisier,1
laidaire,1
duguiste,1
menriere,1
charpentin,1
badou de la,1
sinerand,1
juge de viatriel,1
chautre,1
chef du bureau de l Interieur,1
m vineraux,1
domestique se pla,1
peniveure,1
fitear,1
conducteur,1
atanqeios de,1
fone,1
meniener,1
menriner,1
penqimeur,1
mte jermnier,1
fabric de collor,1
goudanne,1
lieuten du p c,1
tient de rion,1
greff d appel,1
din,1
cimenteur,1
indionnaier,1
marneuvre,1
ticolure,1
muinier du d c,1
monieril,1
minitre,1
cadonne,1
boulaugel,1
jut rititaire,1
jut rictetaire,1
leniveure,1
jaminel,1
huinier cantond,1
tieut pourion,1
maunier,1
cs goudarme,1
chaypentin,1
leliez,1
juge femme,1
baltettier,1
tonnellier,1
lechour,1
huissier de la municipalite,1
vendeur de vir,1
chargeur,1
fermier de la voixane,1
fritier,1
den,1
dresse,1
cecheur,1
picher,1
augustine,1
reymont,1
cadue,1
tourelier,1
fauseume de menages,1
vittier,1
femme de menage,1
ilet,1
huission,1
courtier,1
monteur de boite,1
uartier d,1
lichieur,1
veuve de menage,1
doveux,1
artiste,1
percuquier,1
couffisseur,1
magarinier,1
ceroni,1
saveur,1
licheur,1
jeges,1
commis de legages,1
sous commis de peages,1
segt,1
peyet,1
munier al,1
peignard,1
garde de jour,1
archilecte,1
lorg la garde,1
gautier,1
rentieres,1
marde de vine,1
fournier,1
teinturier,1
corfineur,1
mare de bavonaisne,1
philosophie,1
tonrelier,1
snensateurpuble,1
hrinier du frib,1
tullieuse,1
volurier,1
cuisiniere,1
fabrigl,1
commis arpenteur,1
de baromeitre,1
ducien muniapal lrois,1
capitaire,1
eoguames,1
veadeur de vin,1
des,1
loaurse chasran,1
blanchineuse,1
tisseraud,1
tunier,1
culottier,1
muriaipal,1
audriere,1
fabriquand,1
boutonnier,1
lingene,1
com aepenleur,1
pintre,1
vadeur de vin,1
secret jubs du dish,1
got,1
ancien banneret,1
mareclat,1
ecrivaise,1
regallemand,1
guet,1
fabrigt de larephie,1
cout enlinge,1
fons enlinge,1
juge d modecin,1
sans etac,1
patissier,1
fenvain,1
seulpteur,1
fornier,1
regente,1
miricho,1
graiteur,1
regeste,1
borgiste,1
le fils jardinier,1
garde de commune,1
collisateur,1
janelier,1
d le sescules,1
sullier,1
soclen mederin,1
cetier de lerre,1
roulier,1
vve d ouvres,1
taupier,1
fors en linge,1
paveur,1
da en jounnee,1
sagfemme,1
boulangere,1
puis s mois,1
sanietta,1
puisiniere,1
forsenlin,1
asses de pays,1
saix,1
gitrier,1
fait des pastel,1
fordonnier,1
griper,1
ly de vans trailleur,1
sansetaz,1
fontonine,1
fontenlinge,1
marchand de ses,1
lotier de verre,1
diverand,1
fait de merage,1
frit de menages,1
fait de menage,1
meneur de sable,1
maitresse d iule,1
tesseuse,1
fail de menager,1
mulletier,1
garde torbt,1
deux,1
apitee,1
regaudeuse,1
ligneron,1
cons enlinge,1
erivain,1
cont enlinge,1
tanneur en,1
sannourne,1
corsuriere,1
copherie,1
marichal,1
petite de terre,1
servuier,1
vendeur de rin,1
connelier,1
cullisateur,1
garde de comme,1
polisseuse,1
distillateur,1
garde de pelice,1
charretien,1
brasseur de pierre,1
thuilliers,1
formier,1
fabricant de cacolat,1
vogueron,1
geher de ter,1
vudur de vix,1
salleure,1
glandel,1
marchand de commis,1
inpertn des sone apharsies,1
sindic,1
mancurre,1
sieur,1
oministre,1
condeur,1
mecanicien,1
saors eta,1
fondeur,1
ngd,1
vistilateure,1
gripier,1
negociant,1
chairciatier,1
sa enjournee,1
meruisier,1
brodeuse,1
cousenlinge,1
marcel,1
epicel,1
vandau de,1
ebouiste,1
seleur,1
girgier,1
me desiquent,1
maueuvre,1
m cordonnier,1
ala,1
mecon,1
nuissier,1
vendeur,1
dalonnettes,1
meruierier,1
tineraud,1
tailleur de pierre,1
leuivaire,1
tient teurion,1
vendeuve de,1
vorteus en nrerit,1
farteur,1
vigniron,1
tincroud,1
rouliene,1
voudoude,1
etudiant,1
peniveur,1
journailliere,1
besiveuse,1
sophie,1
ialienne,1
raud,1
secons,1
vendeur de vix,1
manoeuvre a,1
consenlinge,1
font en linge,1
farteur de prilly,1
jnste militaire,1
liserend,1
carrien,1
letier,1
husssier,1
taillieur pierre,1
moitre d ocritiere,1
mte de lanque,1
tar,1
sie,1
inspoct general,1
drenideut du,1
crib de birtri,1
hopitatier,1
idom,1
iupal,1
chapeliere,1
inpinneur,1
garde pelice,1
couciennes,1
haud,1
sap fontouseur,1
no de leur recepisse,1
fernand,1
graveur,1
chivurgien,1
trailleuse,1
fabr de chandelles,1
degottant,1
juge sapierre,1
municipale,1
venderin,1
